date,poondi_inflow_total,poondi_outflow_total,cholavaram_inflow_total,cholavaram_outflow_total,redhills_inflow_total,redhills_outflow_total,chembarambakkam_inflow_total,chembarambakkam_outflow_total,veeranam_inflow_total,veeranam_outflow_total,thervoykandigai_inflow_total,thervoykandigai_outflow_total,poondi_net,cholavaram_net,redhills_net,chembar_net,veeranam_net,thervoy_net,city_supply,supply_index,anomaly_score,anomaly,water_stress_level,anomaly_norm,leak_probability,alert_level,supply_change
2022-01-17,239,239,15,15,111,196,0,150,91,91,81,81,0,0,-85,-150,0,0,-235,0.27078665670898683,0.1519178975065425,1,High Stress,0.9963291479857275,0.3658837489167643,LOW PRIORITY 🟢,-79.0
2022-01-18,223,223,15,15,111,193,150,149,197,73,81,81,0,0,-82,1,124,0,43,0.28808812546676626,0.1347694215517763,1,High Stress,0.9599745096609845,0.3604499560186376,LOW PRIORITY 🟢,278.0
2022-01-19,223,223,15,15,111,191,0,148,277,153,81,81,0,0,-80,-148,124,0,-104,0.2789395070948469,0.14328184212893386,1,High Stress,0.9780207764060272,0.3629065801092206,LOW PRIORITY 🟢,-147.0
2022-01-20,161,439,15,15,281,196,160,150,277,153,81,81,-278,0,85,10,124,0,-59,0.2817401045556385,0.1376586907659354,1,High Stress,0.966099738374057,0.35985739680074524,LOW PRIORITY 🟢,45.0
2022-01-21,150,439,15,15,193,193,170,149,277,153,81,81,-289,0,0,21,124,0,-144,0.27645008712969876,0.14232319972919844,1,High Stress,0.9759884618250071,0.36314902691688355,LOW PRIORITY 🟢,-85.0
2022-01-22,115,439,15,15,193,196,160,150,180,180,71,71,-324,0,-3,10,0,0,-317,0.2656833457804332,0.14792340972347873,1,High Stress,0.9878608643301454,0.36995496467848693,LOW PRIORITY 🟢,-173.0
2022-01-23,105,439,15,15,216,195,160,149,180,180,71,71,-334,0,21,11,0,0,-302,0.2666168782673637,0.15044178167707917,1,High Stress,0.9931997936776759,0.36693404389250633,LOW PRIORITY 🟢,15.0
2022-01-24,92,439,15,15,216,194,310,150,197,73,44,44,-347,0,22,160,124,0,-41,0.2828603435399552,0.12769037677045952,1,High Stress,0.9449669886784623,0.36278903288569647,LOW PRIORITY 🟢,261.0
2022-01-25,85,439,15,15,216,195,160,151,197,73,44,44,-354,0,21,9,124,0,-200,0.2729648991784914,0.14052026047240446,1,High Stress,0.9721662443419422,0.36608787048834884,LOW PRIORITY 🟢,-159.0
2022-01-26,85,439,15,15,216,191,160,151,271,147,44,44,-354,0,25,9,124,0,-196,0.27321384117500624,0.14394941187649618,1,High Stress,0.9794360191828889,0.36345774155281374,LOW PRIORITY 🟢,4.0
2022-01-27,85,439,15,15,216,191,160,151,187,187,44,44,-354,0,25,9,0,0,-320,0.26549663928304706,0.14857325228044838,1,High Stress,0.9892385255980607,0.3692562067082986,LOW PRIORITY 🟢,-124.0
2022-01-28,65,439,15,15,216,191,170,151,195,195,44,44,-374,0,25,19,0,0,-330,0.26487428429176,0.14983981566851873,1,High Stress,0.9919236303274906,0.3677245132049121,LOW PRIORITY 🟢,-10.0
2022-01-29,45,439,15,15,216,192,170,151,147,147,44,44,-394,0,24,19,0,0,-351,0.2635673388100573,0.148279546737921,1,High Stress,0.988615872086418,0.3685558068316348,LOW PRIORITY 🟢,-21.0
2022-01-30,45,439,15,15,216,193,170,146,51,175,44,44,-394,0,23,24,-124,0,-471,0.2560990789146129,0.14792034968321055,1,High Stress,0.9878543770680994,0.37389032475219885,LOW PRIORITY 🟢,-120.0
2022-01-31,40,439,15,15,216,191,170,146,92,92,44,44,-399,0,25,24,0,0,-350,0.26362957430918593,0.1459578608142828,1,High Stress,0.9836939156233392,0.3701412425899916,LOW PRIORITY 🟢,121.0
2022-02-01,0,444,15,15,216,191,170,150,92,92,44,44,-444,0,25,20,0,0,-399,0.2605800348518795,0.1437915946153,1,High Stress,0.9791014477919779,0.3705020937929416,LOW PRIORITY 🟢,-49.0
2022-02-02,0,444,15,15,216,194,170,150,92,92,44,44,-444,0,22,20,0,0,-402,0.2603933283544934,0.14439586974583196,1,High Stress,0.9803825064631435,0.3698518324279909,LOW PRIORITY 🟢,-3.0
2022-02-03,0,444,15,15,216,195,170,151,91,91,44,44,-444,0,21,19,0,0,-404,0.260268857356236,0.14454601660230015,1,High Stress,0.980700816654492,0.36989790239204046,LOW PRIORITY 🟢,-2.0
2022-02-04,0,444,15,15,216,202,170,150,91,91,44,44,-444,0,14,20,0,0,-410,0.2598954443614638,0.1454987649837589,1,High Stress,0.9827206359616877,0.3701492710297434,LOW PRIORITY 🟢,-6.0
2022-02-05,0,444,15,15,216,201,170,150,0,124,44,44,-444,0,15,20,-124,0,-533,0.2522404779686333,0.1432901764916022,1,High Stress,0.9780384451913627,0.3758681218304263,LOW PRIORITY 🟢,-123.0
2022-02-06,0,444,15,15,216,191,170,147,0,248,44,44,-444,0,25,23,-248,0,-644,0.24533233756534728,0.1296333700173533,1,High Stress,0.949086119553099,0.37912820561111876,LOW PRIORITY 🟢,-111.0
2022-02-07,0,444,15,15,216,203,170,149,0,248,44,44,-444,0,13,21,-248,0,-658,0.24446104057754542,0.13071635985102353,1,High Stress,0.9513820497463307,0.3779957972023363,LOW PRIORITY 🟢,-14.0
2022-02-08,0,444,15,15,216,206,170,151,0,248,44,44,-444,0,10,19,-248,0,-663,0.24414986308190192,0.13008055592811418,1,High Stress,0.9500341502756259,0.37800589613444513,LOW PRIORITY 🟢,-5.0
2022-02-09,0,444,15,15,216,201,170,151,0,248,29,29,-444,0,15,19,-248,0,-658,0.24446104057754542,0.130982867233009,1,High Stress,0.9519470433649188,0.3778503073866234,LOW PRIORITY 🟢,5.0
2022-02-10,0,444,15,15,216,204,170,151,0,248,29,29,-444,0,12,19,-248,0,-661,0.24427433408015933,0.13008055592811418,1,High Stress,0.9500341502756259,0.377911329565158,LOW PRIORITY 🟢,-3.0
2022-02-11,0,444,15,15,216,201,170,151,0,248,29,29,-444,0,15,19,-248,0,-658,0.24446104057754542,0.130982867233009,1,High Stress,0.9519470433649188,0.37781797631646497,LOW PRIORITY 🟢,3.0
2022-02-12,0,441,0,15,216,201,170,157,0,124,29,29,-441,-15,15,13,-124,0,-552,0.251058003485188,0.14038653346335994,1,High Stress,0.9718827441019857,0.3761845449758024,LOW PRIORITY 🟢,106.0
2022-02-13,0,444,0,15,216,204,170,161,0,124,29,29,-444,-15,12,9,-124,0,-562,0.25043564849390093,0.14021739677089562,1,High Stress,0.9715241756030589,0.3749438311038416,LOW PRIORITY 🟢,-10.0
2022-02-14,0,444,0,15,216,205,170,161,0,124,29,29,-444,-15,11,9,-124,0,-563,0.2503734129947722,0.14047902459938327,1,High Stress,0.9720788246054219,0.3748294590376931,LOW PRIORITY 🟢,-1.0
2022-02-15,0,444,0,15,216,205,170,166,0,124,25,25,-444,-15,11,4,-124,0,-568,0.2500622354991287,0.14047902459938327,1,High Stress,0.9720788246054219,0.37504970992583175,LOW PRIORITY 🟢,-5.0
2022-02-16,0,444,0,15,216,202,170,166,0,94,25,25,-444,-15,14,4,-94,0,-535,0.2521160069703759,0.14354606608824705,1,High Stress,0.9785809291859536,0.37447545917242603,LOW PRIORITY 🟢,33.0
2022-02-17,0,443,0,15,216,205,170,166,0,94,22,22,-443,-15,11,4,-94,0,-537,0.2519915359721185,0.1439197862565736,1,High Stress,0.9793732130944486,0.37403656308409916,LOW PRIORITY 🟢,-2.0
2022-02-18,0,443,0,15,216,205,170,171,0,189,22,22,-443,-15,11,-1,-189,0,-637,0.24576798605924818,0.1338018454183708,1,High Stress,0.9579232556326734,0.378732560478297,LOW PRIORITY 🟢,-100.0
2022-02-19,0,443,0,15,216,206,170,171,0,284,22,22,-443,-15,10,-1,-284,0,-733,0.2397933781428927,0.11259824856625766,1,High Stress,0.9129717919121914,0.3816552022961579,LOW PRIORITY 🟢,-96.0
2022-02-20,0,443,0,15,216,202,170,171,0,284,22,22,-443,-15,14,-1,-284,0,-729,0.24004232013940752,0.11489521507495287,1,High Stress,0.9178413434039933,0.3800435020706131,LOW PRIORITY 🟢,4.0
2022-02-21,0,443,0,15,216,201,170,168,0,278,22,22,-443,-15,15,2,-278,0,-719,0.24066467513069456,0.11563133163417633,1,High Stress,0.919401904899138,0.3798293177854448,LOW PRIORITY 🟢,10.0
2022-02-22,0,443,0,15,216,201,170,171,0,290,22,22,-443,-15,15,-1,-290,0,-734,0.239731142643764,0.11358420027588745,1,High Stress,0.915062002022046,0.38037691170430615,LOW PRIORITY 🟢,-15.0
2022-02-23,0,443,0,15,170,202,170,171,0,284,22,22,-443,-15,-32,-1,-284,0,-775,0.23717948717948717,0.11031495361822452,1,High Stress,0.9081312240247934,0.38207304334850406,LOW PRIORITY 🟢,-41.0
2022-02-24,0,53,0,15,110,205,0,171,0,284,22,22,-53,-15,-95,-171,-284,0,-618,0.24695046054269354,0.13295568281962683,1,High Stress,0.9561293973724756,0.37906275873608936,LOW PRIORITY 🟢,157.0
2022-02-25,0,53,0,15,70,202,0,171,0,284,22,22,-53,-15,-132,-171,-284,0,-655,0.24464774707493153,0.13221888468848592,1,High Stress,0.9545673909500605,0.37827425126046504,LOW PRIORITY 🟢,-37.0
2022-02-26,0,53,0,15,26,204,0,171,0,94,22,22,-53,-15,-178,-171,-94,0,-511,0.2536096589494648,0.15077154272584326,1,High Stress,0.9938988845877386,0.375523007576674,LOW PRIORITY 🟢,144.0
2022-02-27,0,53,0,15,0,203,0,170,0,94,22,22,-53,-15,-203,-170,-94,0,-535,0.2521160069703759,0.15115444323199412,1,High Stress,0.9947106307424519,0.37432996935671314,LOW PRIORITY 🟢,-24.0
2022-02-28,0,53,0,15,0,206,0,171,0,94,22,22,-53,-15,-206,-171,-94,0,-539,0.2518670649738611,0.15115444323199412,1,High Stress,0.9947106307424519,0.37413112965338635,LOW PRIORITY 🟢,-4.0
2022-03-01,0,48,0,15,0,202,0,171,0,93,22,22,-48,-15,-202,-171,-93,0,-529,0.2524894199651481,0.15147328212791095,1,High Stress,0.9953865667717231,0.373916945368218,LOW PRIORITY 🟢,10.0
2022-03-02,0,48,0,15,0,203,0,170,0,94,22,22,-48,-15,-203,-170,-94,0,-530,0.2524271844660194,0.15147328212791095,1,High Stress,0.9953865667717231,0.3738025733020695,LOW PRIORITY 🟢,-1.0
2022-03-03,0,48,0,15,0,205,0,171,0,94,22,22,-48,-15,-205,-171,-94,0,-533,0.2522404779686333,0.15147328212791095,1,High Stress,0.9953865667717231,0.37392825762092097,LOW PRIORITY 🟢,-3.0
2022-03-04,0,48,0,15,0,205,0,175,0,94,22,22,-48,-15,-205,-175,-94,0,-537,0.2519915359721185,0.15115444323199412,1,High Stress,0.9947106307424519,0.3740688941542576,LOW PRIORITY 🟢,-4.0
2022-03-05,0,48,0,15,0,204,0,175,63,63,22,22,-48,-15,-204,-175,0,0,-442,0.2579039083893453,0.15117428280539025,1,High Stress,0.9947526904868418,0.3725837716378524,LOW PRIORITY 🟢,95.0
2022-03-06,0,48,0,15,0,204,0,186,159,65,22,22,-48,-15,-204,-186,94,0,-359,0.26306945481702765,0.14498317327174048,1,High Stress,0.9816275854618586,0.3698070120030607,LOW PRIORITY 🟢,83.0
2022-03-07,0,48,0,15,0,204,0,183,448,69,22,22,-48,-15,-204,-183,379,0,-71,0.2809932785660941,0.11957596058431047,1,High Stress,0.9277644882089149,0.3641590348197658,LOW PRIORITY 🟢,288.0
2022-03-08,0,48,0,15,0,205,0,185,260,71,22,22,-48,-15,-205,-185,189,0,-264,0.2689818272342544,0.1360645644025254,1,High Stress,0.9627202026334712,0.36862903465316055,LOW PRIORITY 🟢,-193.0
2022-03-09,0,53,0,15,0,216,0,184,165,71,22,22,-53,-15,-216,-184,94,0,-374,0.2621359223300971,0.14124597133060707,1,High Stress,0.9737047458302311,0.3707102476936647,LOW PRIORITY 🟢,-110.0
2022-03-10,0,53,0,15,0,221,0,183,71,71,22,22,-53,-15,-221,-183,0,0,-472,0.2560368434154842,0.14261492178538987,1,High Stress,0.976606910360735,0.37356580073002055,LOW PRIORITY 🟢,-98.0
2022-03-11,0,53,0,15,0,218,0,183,71,71,22,22,-53,-15,-218,-183,0,0,-469,0.2562235499128703,0.14644534596251124,1,High Stress,0.9847273804221515,0.37193672164880254,LOW PRIORITY 🟢,3.0
2022-03-12,0,53,0,15,0,201,0,183,70,70,22,22,-53,-15,-201,-183,0,0,-452,0.25728155339805825,0.15244812978759964,1,High Stress,0.9974532363803337,0.3716340373973175,LOW PRIORITY 🟢,17.0
2022-03-13,0,53,0,15,0,193,0,183,70,70,22,22,-53,-15,-193,-183,0,0,-444,0.2577794373910879,0.1528456775067315,1,High Stress,0.9982960345149311,0.3712396055850897,LOW PRIORITY 🟢,8.0
2022-03-14,0,53,0,15,0,214,0,183,70,70,22,22,-53,-15,-214,-183,0,0,-465,0.2564724919093851,0.14892182149317662,1,High Stress,0.9899774896723786,0.3721032302819709,LOW PRIORITY 🟢,-21.0
2022-03-15,0,53,0,15,0,214,0,182,70,70,22,22,-53,-15,-214,-182,0,0,-464,0.2565347274085138,0.14892182149317662,1,High Stress,0.9899774896723786,0.3717488018308223,LOW PRIORITY 🟢,1.0
2022-03-16,0,53,0,15,0,213,0,186,70,6,22,22,-53,-15,-213,-186,64,0,-403,0.2603310928553647,0.14325444563167278,1,High Stress,0.9779626960406398,0.3708205512121495,LOW PRIORITY 🟢,61.0
2022-03-17,0,53,0,15,0,195,0,185,0,61,22,22,-53,-15,-195,-185,-61,0,-509,0.25373412994772215,0.15109911133766007,1,High Stress,0.9945933275481831,0.3748464817445353,LOW PRIORITY 🟢,-106.0
2022-03-18,0,53,0,15,0,193,0,185,0,63,22,22,-53,-15,-193,-185,-63,0,-509,0.25373412994772215,0.15201061785610037,1,High Stress,0.9965257144201098,0.3731329350261389,LOW PRIORITY 🟢,0.0
2022-03-19,0,53,0,15,0,191,0,185,0,63,22,22,-53,-15,-191,-185,-63,0,-507,0.25385860094597956,0.15201061785610037,1,High Stress,0.9965257144201098,0.37310303059716865,LOW PRIORITY 🟢,2.0
2022-03-20,0,53,0,215,200,186,0,184,0,70,22,22,-53,-215,14,-184,-70,0,-508,0.25379636544685086,0.13043428953651376,1,High Stress,0.9507840628294059,0.37311798281165376,LOW PRIORITY 🟢,-1.0
2022-03-21,0,53,0,215,200,189,0,185,0,69,22,22,-53,-215,11,-185,-69,0,-511,0.2536096589494648,0.130703390281998,1,High Stress,0.9513545543588457,0.3732436671305053,LOW PRIORITY 🟢,-3.0
2022-03-22,0,53,0,215,200,191,0,185,0,68,22,22,-53,-215,9,-185,-68,0,-512,0.2535474234503361,0.1308224567431842,1,High Stress,0.9516069743490798,0.37324245380991117,LOW PRIORITY 🟢,-1.0
2022-03-23,0,53,0,215,200,188,0,186,0,67,22,22,-53,-215,12,-186,-67,0,-509,0.25373412994772215,0.13055344701724436,1,High Stress,0.9510366757803803,0.37318143163137657,LOW PRIORITY 🟢,3.0
2022-03-24,0,53,0,215,200,188,0,185,0,67,22,22,-53,-215,12,-185,-67,0,-508,0.25379636544685086,0.13055344701724436,1,High Stress,0.9510366757803803,0.37311798281165376,LOW PRIORITY 🟢,1.0
2022-03-25,0,53,0,215,200,191,0,184,67,67,22,22,-53,-215,9,-184,0,0,-443,0.2578416728902166,0.13104480007291208,1,High Stress,0.9520783405134841,0.3721299233350404,LOW PRIORITY 🟢,65.0
2022-03-26,0,53,0,215,200,185,0,173,251,62,22,22,-53,-215,15,-173,189,0,-237,0.2706621857107294,0.11514037304065755,1,High Stress,0.9183610764227836,0.36799900737095276,LOW PRIORITY 🟢,206.0
2022-03-27,0,53,0,215,200,190,0,184,161,67,22,22,-53,-215,10,-184,94,0,-348,0.26375404530744334,0.12458936647673502,1,High Stress,0.9383928704905236,0.36991735174007073,LOW PRIORITY 🟢,-111.0
2022-03-28,0,53,0,215,200,185,0,184,161,67,22,22,-53,-215,15,-184,94,0,-343,0.26406522280308686,0.12598053013422528,1,High Stress,0.9413421268414663,0.36804821627385265,LOW PRIORITY 🟢,5.0
2022-03-29,0,53,0,215,200,185,0,182,161,67,22,22,-53,-215,15,-182,94,0,-341,0.26418969380134427,0.12573907983589555,1,High Stress,0.9408302540492526,0.3679374841694863,LOW PRIORITY 🟢,2.0
2022-03-30,0,53,0,215,200,188,0,185,161,67,10,10,-53,-215,12,-185,94,0,-347,0.26381628080657205,0.12573143343231963,1,High Stress,0.9408140437319497,0.36818885280718927,LOW PRIORITY 🟢,-6.0
2022-03-31,0,53,0,215,200,191,0,185,256,67,10,10,-53,-215,9,-185,189,0,-255,0.26954194672641274,0.11967076779969466,1,High Stress,0.9279654787829437,0.3667162558640811,LOW PRIORITY 🟢,92.0
2022-04-01,0,53,0,215,200,191,0,182,256,67,10,10,-53,-215,9,-182,189,0,-252,0.26972865322379885,0.12019582475856999,1,High Stress,0.9290785955339689,0.36518416999333825,LOW PRIORITY 🟢,3.0
2022-04-02,0,53,0,215,200,189,0,185,256,67,5,15,-53,-215,11,-185,189,-10,-263,0.2690440627333831,0.12479297526467409,1,High Stress,0.9388245195691233,0.36565578951917976,LOW PRIORITY 🟢,-11.0
2022-04-03,0,53,0,224,200,209,0,170,351,67,5,15,-53,-224,-9,-170,284,-10,-182,0.27408513816280805,0.1180743138218614,1,High Stress,0.9245810085175208,0.3642668392600121,LOW PRIORITY 🟢,81.0
2022-04-04,0,53,0,224,200,231,0,169,161,67,3,15,-53,-224,-31,-169,94,-12,-395,0.26082897684839434,0.12135127780358124,1,High Stress,0.9315281471829555,0.3730287705476748,LOW PRIORITY 🟢,-213.0
2022-04-05,0,53,0,224,200,231,0,160,160,66,3,15,-53,-224,-31,-160,94,-12,-386,0.26138909634055263,0.12771876428974843,1,High Stress,0.9450271700029956,0.36945094164543657,LOW PRIORITY 🟢,9.0
2022-04-06,0,53,0,224,200,211,0,158,67,67,3,15,-53,-224,-11,-158,0,-12,-458,0.256908140403286,0.13527056077308813,1,High Stress,0.9610369209906672,0.3727098483240602,LOW PRIORITY 🟢,-72.0
2022-04-07,0,63,0,224,200,215,0,160,0,68,3,15,-63,-224,-15,-160,-68,-12,-542,0.25168035847647496,0.13380336888855693,1,High Stress,0.9579264853778566,0.37551772570841624,LOW PRIORITY 🟢,-84.0
2022-04-08,0,63,0,224,200,215,0,159,0,67,0,15,-63,-224,-15,-159,-67,-15,-543,0.25161812297734626,0.1346201428850078,1,High Stress,0.9596580400251822,0.3742071040464061,LOW PRIORITY 🟢,-1.0
2022-04-09,0,63,0,224,200,215,0,149,0,68,0,15,-63,-224,-15,-149,-68,-15,-534,0.2521782424695046,0.13519894653946435,1,High Stress,0.960885099361202,0.3740563685809606,LOW PRIORITY 🟢,9.0
2022-04-10,0,63,0,224,200,220,0,153,0,67,0,15,-63,-224,-20,-153,-67,-15,-542,0.25168035847647496,0.1346960573856666,1,High Stress,0.9598189781879866,0.3742891450423962,LOW PRIORITY 🟢,-8.0
2022-04-11,0,63,0,224,200,213,0,152,0,67,0,15,-63,-224,-13,-152,-67,-15,-534,0.2521782424695046,0.13519894653946435,1,High Stress,0.960885099361202,0.37404020304588137,LOW PRIORITY 🟢,8.0
2022-04-12,0,63,0,224,200,210,0,155,0,67,0,15,-63,-224,-10,-155,-67,-15,-534,0.2521782424695046,0.13519894653946435,1,High Stress,0.960885099361202,0.3739108787652477,LOW PRIORITY 🟢,0.0
2022-04-13,0,63,0,224,200,213,0,156,0,67,0,15,-63,-224,-13,-156,-67,-15,-538,0.2519293004729898,0.13519894653946435,1,High Stress,0.960885099361202,0.37410001190382197,LOW PRIORITY 🟢,-4.0
2022-04-14,0,63,0,224,200,224,0,156,0,67,0,15,-63,-224,-24,-156,-67,-15,-549,0.25124470998257403,0.13290661102148088,1,High Stress,0.9560253655344133,0.37455546589458427,LOW PRIORITY 🟢,-11.0
2022-04-15,0,63,0,224,200,224,0,156,0,67,0,15,-63,-224,-24,-156,-67,-15,-549,0.25124470998257403,0.13290661102148088,1,High Stress,0.9560253655344133,0.37437764500871296,LOW PRIORITY 🟢,0.0
2022-04-16,0,63,0,224,200,214,0,155,0,66,0,15,-63,-224,-14,-155,-66,-15,-537,0.2519915359721185,0.13519894653946435,1,High Stress,0.960885099361202,0.37419821843489126,LOW PRIORITY 🟢,12.0
2022-04-17,0,63,0,224,200,213,0,155,0,66,0,15,-63,-224,-13,-155,-66,-15,-536,0.2520537714712472,0.13519894653946435,1,High Stress,0.960885099361202,0.3739892797994556,LOW PRIORITY 🟢,1.0
2022-04-18,0,63,0,224,200,215,0,154,68,68,0,15,-63,-224,-15,-154,0,-15,-471,0.2560990789146129,0.13362748122615953,1,High Stress,0.9575536048741251,0.3730012203228423,LOW PRIORITY 🟢,65.0
2022-04-19,0,63,0,224,200,206,0,123,0,71,0,10,-63,-224,-6,-123,-71,-10,-497,0.2544809559372666,0.13665491244388067,1,High Stress,0.9639717359817294,0.3731798259434262,LOW PRIORITY 🟢,-26.0
2022-04-20,0,63,0,224,200,225,0,153,0,64,0,10,-63,-224,-25,-153,-64,-10,-539,0.2518670649738611,0.13425337301480322,1,High Stress,0.9588804906957332,0.3747454199863964,LOW PRIORITY 🟢,-42.0
2022-04-21,0,63,0,224,200,223,0,151,0,67,0,10,-63,-224,-23,-151,-67,-10,-538,0.2519293004729898,0.13432931417716792,1,High Stress,0.9590414853811509,0.3740515152985843,LOW PRIORITY 🟢,1.0
2022-04-22,0,63,0,224,200,223,0,154,0,67,0,10,-63,-224,-23,-154,-67,-10,-541,0.25174259397560367,0.13411001518862126,1,High Stress,0.958576573196848,0.3741771996174358,LOW PRIORITY 🟢,-3.0
2022-04-23,0,63,0,224,200,215,0,154,0,67,0,10,-63,-224,-15,-154,-67,-10,-533,0.2522404779686333,0.1354563056228716,1,High Stress,0.9614306986565294,0.374009085296317,LOW PRIORITY 🟢,8.0
2022-04-24,0,63,0,224,200,201,0,154,0,67,0,10,-63,-224,-1,-154,-67,-10,-519,0.25311177495643516,0.13447436918529482,1,High Stress,0.9593490008928242,0.3736704300128914,LOW PRIORITY 🟢,14.0
2022-04-25,0,63,0,224,200,219,0,153,0,68,0,10,-63,-224,-19,-153,-68,-10,-537,0.2519915359721185,0.135096799730345,1,High Stress,0.9606685489043943,0.37429521164536655,LOW PRIORITY 🟢,-18.0
2022-04-26,0,63,0,224,200,207,0,153,0,68,0,10,-63,-224,-7,-153,-68,-10,-525,0.25273836196166294,0.13566695052453231,1,High Stress,0.9618772642425923,0.37382480544011903,LOW PRIORITY 🟢,12.0
2022-04-27,0,63,0,224,200,209,0,155,0,67,0,10,-63,-224,-9,-155,-67,-10,-528,0.2525516554642768,0.1354563056228716,1,High Stress,0.9614306986565294,0.37377266887309923,LOW PRIORITY 🟢,-3.0
2022-04-28,0,63,0,224,200,207,0,155,66,66,0,10,-63,-224,-7,-155,0,-10,-459,0.2568459049041573,0.13593849267904323,1,High Stress,0.9624529315405613,0.37269246946838686,LOW PRIORITY 🟢,69.0
2022-04-29,0,663,0,224,440,211,240,184,65,65,0,10,-663,-224,229,56,0,-10,-612,0.24732387353746577,0.06672779876977464,1,High Stress,0.8157267879513039,0.37881139009838644,LOW PRIORITY 🟢,-153.0
2022-04-30,0,663,0,224,440,234,240,177,71,65,0,10,-663,-224,206,63,6,-10,-622,0.24670151854617875,0.07610312455283191,1,High Stress,0.8356024071561088,0.37681089607770274,LOW PRIORITY 🟢,-10.0
2022-05-01,0,663,0,224,440,236,240,174,71,55,0,15,-663,-224,204,66,16,-15,-616,0.24707493154095095,0.07613430716279934,1,High Stress,0.8356685140515774,0.3765595274399998,LOW PRIORITY 🟢,6.0
